l_includes|l_model_number|l_series|l_color|l_type|l_suitable|l_power|l_gm_type|l_gm_capacity|l_processor_name|l_processor_generation|l_ssd|l_ssd_capacity|l_ram|l_ram_type|l_clock_speed|l_expandable_memory|l_graphic_processor|l_number_cores|l_Id_id|created_at|updated_at
Laptop, Power Adaptor|G513IH-HN084TS|Strix G15|Black|Gaming Laptop|Gaming, Processing & Multitasking, Performance|No description available|GDDR6|4 GB|Ryzen 7 Octa Core|4th Gen|Yes|512 GB|8 GB|DDR4|2.9 GHz with Turbo Boost Upto 4.2 GHz|32|NVIDIA GeForce GTX 1650|8.0|612||
Laptop, Power Adaptor, User Guide, Warranty Documents|TravelMate P214-53|Travelmate|Black|Thin and Light Laptop|Everyday Use, Processing & Multitasking, Travel & Business|45 W AC Adapter|No description available|No description available|Core i5|11th Gen|Yes|256 GB|16 GB|DDR4|No description available|Upto 32 GB|Intel Integrated Iris Xe|0.0|613||
Laptop, Active Pen, battery, adapter, cables and user manuals|Inspiron 5410 2 In1|No description available|Platinum Silver|2 in 1 Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i3|11th Gen|Yes|256 GB|8 GB|DDR4|1.7 GHz upto max turbo frequency at 4.1 Ghz|16GB|Intel Integrated UHD|0.0|614||
Laptop, Power Adaptor, User Guide|X409FA-BV301T|No description available|Slate Grey|Thin and Light Laptop|Processing & Multitasking|45 W AC Adapter|No description available|No description available|Core i3|10th Gen|No|No description available|4 GB|DDR4|2.1 GHz with Turbo Boost Upto 4.1 GHz|No description available|Intel Integrated HD 520|2.0|615||
Laptop, battery, adapter, cables and user manuals|15IML05|IdeaPad 3|Platinum Grey|Thin and Light Laptop|Processing & Multitasking|45W Round Tip|No description available|No description available|Core i3|10th Gen|Yes|256 GB|8 GB|DDR4|Max Frequency Up to 4.1 GHz|No description available|Intel Integrated UHD|0.0|616||
Laptop, battery, adapter, cables and user manuals|CB 11IGL05|IdeaPad 3 Chromebook|Onyx Black|Chromebook|Processing & Multitasking|45W USB-C|No description available|No description available|Celeron Dual Core|No description available|No|No description available|4 GB|LPDDR4|Max Frequency Up to 2.8 GHz|No description available|Intel Integrated UHD|0.0|617||
Laptop, Power Adaptor, User Guide, Mouse(ROG P512), Mouse Pad(ROG)|G513QE-HF146T|Rog Strix G15|Electro Punk|Gaming Laptop|Gaming, Processing & Multitasking, Performance|No description available|GDDR6|4 GB|Ryzen 9 Octa Core|5th Gen|Yes|1 TB|16 GB|DDR4|3.0 GHz with Turbo Boost Upto 4.6 GHz|32|NVIDIA GeForce RTX 3050Ti|8.0|618||
Laptop, Battery, Power Adapter, User Guide|Modern 14 B10MW-639IN|Modern 14|Carbon Grey|Notebook|Processing & Multitasking|65W AC Adapter|No description available|No description available|Core i5|10th Gen|Yes|512 GB|8 GB|DDR4|4.2 GHz Max Turbo Frequency|No description available|Intel Integrated UHD|4.0|619||
Laptop, Battery, Power Adapter, User Guide|B11MOU-477IN|Modern 14|Carbon Grey|Notebook|Processing & Multitasking|65W AC Adapter|No description available|No description available|Core i3|11th Gen|Yes|512 GB|8 GB|DDR4|4.1 GHz Max Turbo Frequency|No description available|Intel Integrated UHD|2.0|620||
Laptop, Battery, Power Adapter, User Guide|Modern 14 B11MOU-473IN|Modern 14|Carbon Grey|Notebook|Processing & Multitasking|65W AC Adapter|No description available|No description available|Core i7|11th Gen|Yes|512 GB|8 GB|DDR4|4.7 GHz Max Turbo Frequency|No description available|Intel Integrated Iris Xe|4.0|621||
Laptop, Battery, Power Adapter, User Guide|Modern 14 B11SBU-496IN|Modern 14|Carbon Grey|Notebook|Processing & Multitasking|90W AC Adapter|GDDR5|2 GB|Core i7|11th Gen|Yes|512 GB|8 GB|DDR4|4.7 GHz Max Turbo Frequency|No description available|NVIDIA GeForce MX450|4.0|622||
Laptop, battery, power adapter, user guide|Modern 14 B11MOU-637IN|Modern 14|Carbon Gray|Thin and Light Laptop|Processing & Multitasking|65 W adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|4.5 GHz|No description available|Intel Integrated UHD|0.0|623||
Laptop, Power Adaptor, User Guide, Warranty Documents|FX506HCB-HN228T|ASUS TUF Gaming|Graphite Black|Gaming Laptop|Gaming|180W AC Adapter|GDDR6|4 GB|Core i5|11th Gen|Yes|1 TB|8 GB|DDR4|2.7 GHz up to 4.5 GHz|No description available|NVIDIA GeForce RTX 3050|6.0|624||
Laptop, Power Adaptor, User Guide, Warranty Documents|FX706HCB-HX162T|ASUS TUF Gaming|Graphite Black|Gaming Laptop|Gaming|180W AC Adapter|GDDR6|4 GB|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|2.7 GHz up to 4.5 GHz|No description available|NVIDIA GeForce RTX 3050|6.0|625||
Laptop, Power Adaptor, User Guide, Warranty Documents|FX506HCB-HN225T|ASUS TUF Gaming|Graphite Black|Gaming Laptop|Gaming|180W AC Adapter|GDDR6|4 GB|Core i7|11th Gen|Yes|1 TB|16 GB|DDR4|2.3 GHz up to 4.6 GHz|No description available|NVIDIA GeForce RTX 3050|8.0|626||
Laptop, Power Adaptor, User Guide, Warranty Documents|GA401IHR-K2066TS|ROG Zephyrus G14|Eclipse Gray|Gaming Laptop|Processing & Multitasking|150W AC Adapter|GDDR6|4 GB|Ryzen 7 Octa Core|No description available|Yes|1 TB|8 GB|LPDDR4X|2.9 GHz with Turbo Boost Upto 4.2 GHz|24|NVIDIA GeForce GTX 1650|8.0|630||
Laptop, Power Adaptor, User Guide, Warranty Documents|F571LH-AL434T|Vivobook Gaming|Star Black|Gaming Laptop|Gaming|150W AC Adapter|GDDR6|4 GB|Core i7|10th Gen|Yes|256 GB|16 GB|DDR4|2.2 GHz Upto 5.0 GHz|No description available|NVIDIA GeForce GTX 1650|8.0|631||
Laptop, Power Adaptor, User Guide, Warranty Documents|FX706HCB-HX191T|ASUS TUF Gaming|Graphite Black|Gaming Laptop|Gaming|180W AC Adapter|GDDR6|4 GB|Core i7|11th Gen|Yes|512 GB|16 GB|DDR4|2.3 GHz up to 4.6 GHz|No description available|NVIDIA GeForce RTX 3050|8.0|632||
Laptop, Power Adaptor, User Guide, Warranty Documents|FA766IC-HX005T|ASUS TUF Gaming|Eclipse Gray|Gaming Laptop|Gaming|180W AC Adapter|GDDR6|4 GB|Ryzen 7 Octa Core|No description available|Yes|512 GB|16 GB|DDR4|2.9 GHz up to 4.2 GHz|No description available|NVIDIA GeForce RTX 3050|8.0|633||
Laptop, Battery, Adapter, Cables and User Manuals|GA503QM-HQ173TS|ROG Zephyrus G15|Eclipse Gray|Gaming Laptop|Gaming, Processing & Multitasking|200W AC Adapter|GDDR6|6 GB|Ryzen 9 Octa Core|No description available|Yes|1 TB|16 GB|DDR4|3.1 GHz with Turbo Boost Upto 4.5 GHz|40|NVIDIA GeForce RTX 3060|8.0|634||
Laptop, Power Adaptor, User Guide, Warranty Documents|F571LH-BQ435T|Vivobook Gaming|Star Black|Gaming Laptop|Gaming|150W AC Adapter|GDDR6|4 GB|Core i7|10th Gen|Yes|512 GB|16 GB|DDR4|2.2 GHz Upto 5.0 GHz|No description available|NVIDIA GeForce GTX 1650|8.0|635||
Laptop, Power Adaptor, User Guide|M515UA-BQ512TS|No description available|Transparent Silver|Laptop|Everyday Use, Processing & Multitasking, Performance, Entertainment|45W|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|No description available|No description available|AMD Radeon wega 8|0.0|636||
Laptop, Power Adaptor, User Guide, Warranty Documents|15ITL6|IdeaPad 3|Arctic Grey|Thin and Light Laptop|Processing & Multitasking|65W Round Tip Wall-mount AC Adapter|No description available|No description available|Core i3|11th Gen|Yes|512 GB|8 GB|DDR4|3.0 GHz with Turbo Boost Upto 4.1 GHz|12|Intel Integrated UHD|2.0|637||
Laptop, Power Adaptor, User Guide, Warranty Documents|14ITL05|Yoga Slim 7|Slate Grey|Thin and Light Laptop|Processing & Multitasking|65 W USB-C Slim|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.4 GHz with Turbo Boost Upto 4.2 GHz|No description available|Intel Integrated Iris Xe|4.0|638||
Laptop, Power Adaptor, User Guide, Warranty Documents|Ideapad 5 Pro14ITL6 U|IdeaPad 5 Pro|Storm Grey|Thin and Light Laptop|Processing & Multitasking|65 W USB-C|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.4 GHz with Turbo Boost Upto 4.2 GHz|No description available|Intel Integrated Iris Xe|4.0|639||
Laptop, Power Adaptor, User Guide|X515EA-BQ391TS|No description available|Transparent Silver|Laptop|Everyday Use, Processing & Multitasking, Performance, Entertainment|45W|No description available|No description available|Core i3|11th Gen|No|No description available|8 GB|DDR4|No description available|No description available|Intel Integrated Intel UHD Graphic|0.0|640||
Laptop, Power Adaptor, User Guide, Warranty Documents|M515UA-BQ512TS|No description available|Transparent Silver|Thin and Light Laptop|Processing & Multitasking|45 W AC Adapter|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|2.1 GHz with Turbo Boost Upto 4 GHz|No description available|AMD Radeon Radeon|6.0|641||
Laptop, Power Adaptor, User Guide|G513QE-HF144T|ROG Strix G15|Black|Gaming Laptop|Gaming, Processing & Multitasking, Performance|No description available|GDDR6|4 GB|Ryzen 9 Octa Core|5th Gen|Yes|1 TB|16 GB|DDR4|3.0 GHz with Turbo Boost Upto 4.6 GHz|32|NVIDIA GeForce RTX 3050Ti|8.0|642||
Laptop, Power Adaptor, User Guide|GF63 Thin 10UC-607IN|GF63 Thin|Black|Gaming Laptop|Gaming, Processing & Multitasking|120 W AC Adapter|GDDR6|4 GB|Core i5|10th Gen|Yes|512 GB|8 GB|DDR4|4.5 GHz|No description available|NVIDIA GeForce RTX 3050|0.0|643||
Laptop, Power Adaptor, User Guide|GF65 Thin 10UE-410IN|GF65 Thin|Black|Gaming Laptop|Gaming, Processing & Multitasking|180 W AC Adapter|GDDR6|6 GB|Core i7|10th Gen|Yes|1 TB|16 GB|DDR4|5.0 GHz|No description available|NVIDIA GeForce RTX 3060|0.0|644||
Laptop, Power Adapter, User Guide, Warranty Documents|15-eh1101AU|Pavilion|Natural Silver|Thin and Light Laptop|Entertainment, Processing & Multitasking|No description available|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|2.1 GHz with Turbo Boost Upto 4 GHz|16 GB|AMD Radeon AMD|0.0|645||
Laptop, Power Adapter, User Guide, Warranty Documents|15-eh1103AU|Pavilion|Natural Silver|Thin and Light Laptop|Entertainment, Processing & Multitasking|No description available|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|16 GB|DDR4|2.1 GHz with Turbo Boost Upto 4 GHz|16 GB|AMD Radeon AMD|0.0|646||
Laptop, Battery, Power Adapter, User Guide|Katana GF66 11UC-628IN|Katana GF66|Black|Gaming Laptop|Processing & Multitasking, Gaming|150 W AC Adapter|GDDR6|4 GB|Core i7|11th Gen|Yes|1 TB|16 GB|DDR4|4.60 GHz with Max Turbo Frequency|No description available|NVIDIA GeForce RTX 3050|0.0|647||
Laptop, Power Adaptor, User Guide|GF63 Thin 10UC-606IN|GF63 Thin|Black|Gaming Laptop|Gaming, Processing & Multitasking|120 W AC Adapter|GDDR6|4 GB|Core i7|10th Gen|Yes|512 GB|16 GB|DDR4|5.0 GHz|No description available|NVIDIA GeForce RTX 3050|0.0|648||
Laptop, Power Adaptor, User Guide, Warranty Documents|14-eb0020TX|HP Envy Intel EVO|Natural Silver|Thin and Light Laptop|Processing & Multitasking|135 Watt Smart PFC Slim Adapter|GDDR6|4 GB|Core i5|11th Gen|Yes|1 TB|16 GB|DDR4|2.4 GHz with Turbo Boost Upto 4.2 GHz|No description available|NVIDIA GeForce GTX GTX|0.0|649||
Laptop, Power Adaptor, User Guide|Alpha 15 B5EEK-029IN|Alpha 15|Black|Gaming Laptop|Gaming, Processing & Multitasking|180 W AC Adapter|GDDR6|8 GB|Ryzen 7 Octa Core|No description available|Yes|1 TB|16 GB|DDR4|4.4 GHz|No description available|AMD Radeon RX6600M|0.0|650||
1 Laptop|X509FA-BR301T|No description available|Transperant Silver|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i3|10th Gen|No|No description available|4 GB|DDR4|No description available|No description available|Intel Integrated Intel UHD|0.0|651||
Laptop, Power Adaptor, User Guide|X409FA-EB616T|No description available|Slate Grey|Thin and Light Laptop|Everyday Use, Processing & Multitasking, Performance, Entertainment|No description available|No description available|No description available|Core i3|10th Gen|No|No description available|8 GB|DDR4|2.1 Ghz With Turbo Upto 4.1|Upgradeable up to 20GB|Intel Integrated|2.0|652||
Laptop, Power Adaptor, User Guide, Warranty Documents|PH315-54|Predator Helios 300|Abyssal Black|Gaming Laptop|Gaming|230 W AC Adapter|GDDR6|6 GB|Core i7|11th Gen|Yes|512 GB|16 GB|DDR4|2.30 GHz with Max Turbo Boost Frequency Up to 4.60 GHz|Upto 32 GB|NVIDIA GeForce RTX 3060|8.0|653||
Laptop, Power Adaptor, User Guide|FX766HC-HX060T|F17|Eclipse Gray|Gaming Laptop|Gaming, Processing & Multitasking|150 W AC Adapter|GDDR6|4 GB|Core i5|11th Gen|Yes|1 TB|8 GB|DDR4|2.2 GHz with Turbo Boost Upto 4.5 GHz|No description available|NVIDIA GeForce RTX 3050|6.0|654||
Laptop, Power Adaptor, User Guide, Warranty Documents|13-ay0508au|HP Envy|Nightfall Black|Thin and Light Laptop|Processing & Multitasking|65 Watt Smart PFC Adapter|No description available|No description available|Ryzen 7 Octa Core|No description available|Yes|1 TB|16 GB|DDR4|2.0 GHz with Turbo Boost Upto 4.1 GHz|No description available|AMD Radeon Radeon|0.0|655||
Laptop, Power Adaptor, User Guide|X515EA-BQ312TS|Vivobook 15|Transparent Silver|Laptop|Processing & Multitasking|45W Adaptor|No description available|No description available|Core i3|11th Gen|Yes|256 GB|8 GB|DDR4|3.0 GHz with Turbo Frequency Upto 4.1 GHz|No description available|Intel Integrated UHD|2.0|656||
Laptop, Power Adaptor, User Guide|X515EA-BQ562TS|Vivobook 15|Transparent Silver|Laptop|Processing & Multitasking|45 W AC Adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|2.4 GHz up to 4.2 GHz|No description available|Intel Integrated Intel Iris XUnknown Graphics|4.0|657||
Laptop, TYPE-C Power Adaptor, User Guide, Warranty Documents, Sleeve, Stand, Stylus|UX482EA-HY777TS|ZenBook Duo 14 (2021) Touch Panel Intel EVO|Celestial Blue|Thin and Light Laptop|Processing & Multitasking|65 W AC Adapter|No description available|No description available|Core i7|11th Gen|Yes|1 TB|16 GB|LPDDR4X|2.8 GHz with Turbo Boost Upto 4.7 GHz|No description available|Intel Integrated Iris Xe|4.0|658||
Laptop, Power Adaptor, User Guide, Warranty Documents|IdeaPad 5 15ALC05|IdeaPad|Graphite Grey|Thin and Light Laptop|Processing & Multitasking|65W Round Tip Adapter|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|2.1 GHz with Turbo Boost Upto 4 GHz|No description available|AMD Radeon Radeon|0.0|659||
Laptop, Power Adaptor, User Guide, Warranty Documents|IdeaPad Gaming 3 15IMH05|IdeaPad Gaming|Onyx Black|Gaming Laptop|Gaming, Processing & Multitasking|135W Adapter|GDDR6|4 GB|Core i5|10th Gen|No|No description available|8 GB|DDR4|2.5 GHz with Turbo Boost upto 4.5 GHz|16|NVIDIA GeForce GTX 1650|4.0|660||
Laptop, Power Adaptor, User Guide, Warranty Documents|IPG3-15IHU6|IdeaPad Gaming 3i|Shadow Black|Gaming Laptop|Gaming|170W Slim Tip Adapter|GDDR6|4 GB|Core i7|11th Gen|Yes|512 GB|8 GB|DDR4|3.3 GHz with Turbo Boost Upto 4.8 GHz|No description available|NVIDIA GeForce RTX 3050|0.0|661||
Laptop, Battery, Power Adapter, User Guide, Urban Raider Backpack|GS66 Stealth 11UG-418IN|GS66|Black|Gaming Laptop|Gaming, Processing & Multitasking|230W Slim AC Adapter|GDDR6|8 GB|Core i7|11th Gen|Yes|1 TB|16 GB|DDR4|4.6 GHz Max Turbo Frequency|No description available|NVIDIA GeForce RTX 3070|8.0|662||
Laptop, Power Adaptor, User Guide, Warranty Documents|G513QM-HF406TS|ROG Strix|Eclipse Gray|Gaming Laptop|Gaming|240W AC Adapter|GDDR6|6 GB|Ryzen 9 Octa Core|No description available|Yes|1 TB|16 GB|DDR4|3.3 GHz up to 4.6 GHz|No description available|NVIDIA GeForce RTX 3060|8.0|663||
Laptop, Power Adaptor, User Guide, Warranty Documents|G513IC-HN025T|ROG Strix|Eclipse Gray|Gaming Laptop|Gaming|200W AC Adapter|GDDR6|4 GB|Ryzen 7 Octa Core|No description available|Yes|512 GB|8 GB|DDR4|2.9 GHz up to 4.2 GHz|No description available|NVIDIA GeForce RTX 3050|8.0|664||
Laptop, Power Adaptor, User Guide, Warranty Documents|RMNB1002|Book(Slim) Intel Evo|Real Gray|Thin and Light Laptop|Everyday Use, Processing & Multitasking|65 W Type-C Adaptor|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|2.4GHz with Turbo Boost Upto 3.8GHz|No description available|Intel Integrated Iris Xe|0.0|665||
Laptop, Power Adaptor, User Guide, Warranty Documents|RMNB1001|Book (Slim)|Real Gray|Thin and Light Laptop|Everyday Use, Processing & Multitasking|65 W Type-C Adaptor|No description available|No description available|Core i3|11th Gen|Yes|256 GB|8 GB|DDR4|3.0GHz with Turbo Boost Upto 4.1GHz|No description available|Intel Integrated UHD|0.0|666||
Laptop, Power Adaptor, User Guide, Warranty Documents|G513IH-HN086T|ROG Strix G15 (2021)|Eclipse Gray|Gaming Laptop|Gaming, Processing & Multitasking|150W AC Adapter|GDDR6|4 GB|Ryzen 7 Octa Core|No description available|Yes|512 GB|8 GB|DDR4|2.9 GHz with Turbo Boost Upto 4.2 GHz|32|NVIDIA GeForce GTX 1650|8.0|667||
Laptop, Power Adaptor, User Guide, Warranty Documents|RMNB1002|Book(Slim) Intel Evo|Real Blue|Thin and Light Laptop|Everyday Use, Processing & Multitasking|65 W Type-C Adaptor|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|2.4GHz with Turbo Boost Upto 3.8GHz|No description available|Intel Integrated Iris Xe|0.0|668||
Laptop, Power Adaptor, User Guide, Warranty Documents|15-DK2075TX|Pavilion Gaming|Shadow Black & Ultra Violet|Gaming Laptop|Gaming, Processing & Multitasking|No description available|GDDR6|4 GB|Core i7|11th Gen|Yes|512 GB|16 GB|DDR4|4.8 GHz with Max Turbo Frequency|Upto 16 GB|NVIDIA GeForce GTX 1650|4.0|669||
Laptop, Power Adaptor, User Guide, Warranty Documents|FX516PC-HN077T|ASUS TUF Dash|Moonlight White|Gaming Laptop|Gaming|180W AC Adapter|GDDR6|4 GB|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|3.1 GHz with Turbo Boost Upto 4.0 GHz|Upto 32 GB|NVIDIA GeForce RTX RTX|4.0|670||
Laptop, Adaptor & Manual|K413EA-EB522TS|Vivobook Ultra K14|Indie Black|Thin and Light Laptop|Travel & Business, Processing & Multitasking, Everyday Use, Performance, Entertainment|65W AC Adapter, Output: 19V DC, 3.42A, 65W, Input: 100~240V AC 50/60Hz universal|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.4 Ghz With Turbo Upto 4.2|No description available|Intel Integrated Intel Iris Xe|4.0|671||
Laptop, Power Adaptor, User Guide, Warranty Documents|13-BE0030AU|Pavilion Aero|Natural Silver|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|16 GB|DDR4|2.3 GHz with Turbo Boost Upto 4.2 GHz|No description available|AMD Radeon Radeon|6.0|672||
Laptop, Power Adaptor, User Guide, Warranty Documents|13-ba1501TX|HP Envy Intel EVO|Natural Silver|Thin and Light Laptop|Processing & Multitasking|65 Watt Smart PFC Adapter|GDDR6|2 GB|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.4 GHz with Turbo Boost Upto 4.2 GHz|No description available|NVIDIA GeForce MX450|4.0|673||
